code,eng_code,ko_code
q1a,num_visit_in_latest_3ys_code,최근 3년간 한국방문 횟수
wq1a,num_visit_in_latest_3ys_origin,최근 3년간 한국방문 횟수 (원자료)
q1b,time_visit_in_latest,최근 한국방문시기 (년도&분기)
q1b1,time_visit_in_latest_ys,최근 한국방문시기 (년도)
q1b2,time_visit_in_latest_mt,최근 한국방문시기 (월)
q2a,is_visit_only_korea,한국만 방문
q2b,is_visit_other_before,한국방문 직전 타국가 방문
q2c,is_visit_other_after,한국방문 직후 타국가 방문 예정
q2b1,country_before_visit_korea,한국방문 직전 방문 국가
q2c1,country_after_visit_korea,한국방문 직후 방문 국가
q3,point_decision_visit_korea_code,한국여행 결정 시점
mq3,point_decision_visit_korea_origin,한국여행 결정 시점 (원자료)
q4,examination_before_tour_korea,여행 전 다른 국가 방문 검토 여부
q4a1,country_before_tour_korea_1,여행전 방문 검토 국가 1
q4a2,country_before_tour_korea_2,여행전 방문 검토 국가 2
q4a3,country_before_tour_korea_3,여행전 방문 검토 국가 3
q4a4,country_before_tour_korea_4,여행전 방문 검토 국가 4
q4a5,country_before_tour_korea_5,여행전 방문 검토 국가 5
q5,purpose_of_visit,방한 목적
q5a1,motive_of_tour_1,여행동기(1순위)
q5a2,motive_of_tour_2,여행동기(2순위)
q5a3,motive_of_tour_3,여행동기(3순위)
q6a1,channel_for_getting_tour_info_1,여행 정보 입수 경로(1순위)
q6a2,channel_for_getting_tour_info_2,여행 정보 입수 경로(2순위)
q6a3,channel_for_getting_tour_info_3,여행 정보 입수 경로(3순위)
xq7a1,accompany_with_alone,동반현황_혼자왔다
xq7a2,accompany_with_family,동반현황_가족/친지
xq7a3,accompany_with_friend,동반현황_친구/연인
xq7a4,accompany_with_colleague,동반현황_직장동료
xq7a5,accompany_with_etc,동반현황_기타
q7,num_accompany_code,동반자수(총인원_본인포함)
mq7,num_accompany_origin,동반자수(총인원_본인포함_원자료)
q8a1,activity_on_visit_1,한국 방문시 활동 내역(1순위)
q8a2,activity_on_visit_2,한국 방문시 활동 내역(2순위)
q8a3,activity_on_visit_3,한국 방문시 활동 내역(3순위)
q8b,satisfied_activity_on_visit,한국 방문시 좋았던 활동 내역
q9a01,tour_visit_point_1,한국여행 방문지 1
q9a02,tour_visit_point_2,한국여행 방문지 2
q9a03,tour_visit_point_3,한국여행 방문지 3
q9a04,tour_visit_point_4,한국여행 방문지 4
q9a05,tour_visit_point_5,한국여행 방문지 5
q9a06,tour_visit_point_6,한국여행 방문지 6
q9a07,tour_visit_point_7,한국여행 방문지 7
q9a08,tour_visit_point_8,한국여행 방문지 8
q9a09,tour_visit_point_9,한국여행 방문지 9
q9a10,tour_visit_point_10,한국여행 방문지 10
q9a11,tour_visit_point_11,한국여행 방문지 11
q9a12,tour_visit_point_12,한국여행 방문지 12
q9a13,tour_visit_point_13,한국여행 방문지 13
q9a14,tour_visit_point_14,한국여행 방문지 14
q9a15,tour_visit_point_15,한국여행 방문지 15
q9a16,tour_visit_point_16,한국여행 방문지 16
q9a17,tour_visit_point_17,한국여행 방문지 17
q9a18,tour_visit_point_18,한국여행 방문지 18
q9a19,tour_visit_point_19,한국여행 방문지 19
q9a20,tour_visit_point_20,한국여행 방문지 20
q9a21,tour_visit_point_21,한국여행 방문지 21
q9a22,tour_visit_point_22,한국여행 방문지 22
q9a23,tour_visit_point_23,한국여행 방문지 23
q9a24,tour_visit_point_24,한국여행 방문지 24
q9a25,tour_visit_point_25,한국여행 방문지 25
q9a26,tour_visit_point_26,한국여행 방문지 26
q9a27,tour_visit_point_27,한국여행 방문지 27
q9a28,tour_visit_point_28,한국여행 방문지 28
q9a29,tour_visit_point_29,한국여행 방문지 29
q9a30,tour_visit_point_30,한국여행 방문지 30
q9a31,tour_visit_point_31,한국여행 방문지 31
q9a32,tour_visit_point_32,한국여행 방문지 32
q9a33,tour_visit_point_33,한국여행 방문지 33
yq9a01,tour_visit_city_1,한국여행 방문지(17개시도) 1
yq9a02,tour_visit_city_2,한국여행 방문지(17개시도) 2
yq9a03,tour_visit_city_3,한국여행 방문지(17개시도) 3
yq9a04,tour_visit_city_4,한국여행 방문지(17개시도) 4
yq9a05,tour_visit_city_5,한국여행 방문지(17개시도) 5
yq9a06,tour_visit_city_6,한국여행 방문지(17개시도) 6
yq9a07,tour_visit_city_7,한국여행 방문지(17개시도) 7
yq9a08,tour_visit_city_8,한국여행 방문지(17개시도) 8
yq9a09,tour_visit_city_9,한국여행 방문지(17개시도) 9
yq9a10,tour_visit_city_10,한국여행 방문지(17개시도) 10
yq9a11,tour_visit_city_11,한국여행 방문지(17개시도) 11
yq9a12,tour_visit_city_12,한국여행 방문지(17개시도) 12
yq9a13,tour_visit_city_13,한국여행 방문지(17개시도) 13
yq9a14,tour_visit_city_14,한국여행 방문지(17개시도) 14
yq9a15,tour_visit_city_15,한국여행 방문지(17개시도) 15
yq9a16,tour_visit_city_16,한국여행 방문지(17개시도) 16
yq9a17,tour_visit_city_17,한국여행 방문지(17개시도) 17
yq9a18,tour_visit_city_18,한국여행 방문지(17개시도) 18
yq9a19,tour_visit_city_19,한국여행 방문지(17개시도) 19
yq9a20,tour_visit_city_20,한국여행 방문지(17개시도) 20
yq9a21,tour_visit_city_21,한국여행 방문지(17개시도) 21
yq9a22,tour_visit_city_22,한국여행 방문지(17개시도) 22
yq9a23,tour_visit_city_23,한국여행 방문지(17개시도) 23
yq9a24,tour_visit_city_24,한국여행 방문지(17개시도) 24
